Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,101.634506,103.177719,99.855263,101.979462,99.999435,1097890
2018-06-19,102.578590,103.450050,100.309151,101.017220,99.055862,956742
2018-06-20,100.654106,101.634506,99.183510,99.927887,97.987686,648880
2018-06-21,99.528465,100.908279,98.965645,100.381775,98.432770,608506
2018-06-22,100.127594,102.669365,99.419533,102.378876,100.391090,1848591
2018-06-25,102.360725,102.360725,99.891579,100.490707,98.539589,622271
2018-06-26,99.855263,101.089836,98.802246,99.946037,98.005486,1154977
2018-06-27,99.873421,101.289551,98.983803,99.746330,97.809662,1473308
2018-06-28,99.746330,101.452950,99.183510,100.908279,98.949043,1231543
2018-06-29,101.089836,101.307701,95.879211,96.805138,94.925568,1986706
2018-07-02,96.877762,98.366516,95.552406,98.039711,96.136177,1101878
2018-07-03,97.785538,100.763039,96.968536,100.218376,98.272545,622271
2018-07-04,100.054977,102.142860,99.201668,100.853813,98.895645,1490311
2018-07-05,100.218376,101.852371,99.274284,101.271393,99.305115,501999
2018-07-06,101.198769,101.543724,98.784088,99.710022,97.774055,737173
2018-07-09,100.218376,100.763039,99.001953,99.619240,97.685043,348919
2018-07-10,99.619240,100.490707,99.310600,99.927887,97.987686,343579
2018-07-11,99.927887,100.200218,98.820396,99.818954,97.880875,373638
2018-07-12,99.800797,99.927887,99.201668,99.764488,97.827461,357894
2018-07-13,99.746330,99.746330,97.367958,98.729622,96.812691,497460
2018-07-16,98.729622,99.927887,97.676605,99.691864,97.756248,490754
2018-07-17,99.673706,100.345459,97.150093,99.001953,97.079742,564564
2018-07-18,98.911179,99.746330,96.968536,99.346909,97.417992,509228
2018-07-19,99.092735,99.818954,97.585823,98.947487,97.026321,478678
2018-07-20,98.402824,99.964195,98.057869,99.437691,97.507011,354639
2018-07-23,99.510307,99.510307,96.986694,97.204559,95.317238,799779
2018-07-24,97.458740,98.911179,96.986694,98.566223,96.652466,449684
2018-07-25,98.765938,99.129044,97.168251,98.475449,96.563454,712004
2018-07-26,98.638847,98.765938,97.259026,98.021561,96.118378,530640
2018-07-27,97.967094,98.729622,97.694756,98.003403,96.100578,423645
2018-07-30,97.495049,98.112335,96.805138,97.277184,95.388443,528525
2018-07-31,96.914070,97.113785,93.755013,95.407166,93.554749,1095097
2018-08-01,94.771721,95.334541,91.721596,92.520439,90.724068,1208997
2018-08-02,92.593063,96.224159,90.196533,95.625031,93.768379,1103489
2018-08-03,96.314941,97.222717,95.152992,96.133385,94.266861,793927
2018-08-06,95.352699,97.676605,95.225609,97.386116,95.495277,505177
2018-08-07,98.402824,98.729622,94.844345,97.131935,95.246033,1215628
2018-08-08,95.861053,96.423874,93.718704,94.862503,93.020653,1114755
2018-08-09,95.497940,96.768829,93.391907,96.006294,94.142250,753936
2018-08-10,96.514648,96.786987,94.880653,95.207458,93.358917,561468
2018-08-13,94.771721,95.062210,92.992485,93.282974,91.471802,432692
2018-08-14,94.009193,94.517548,92.665688,93.301125,91.489594,927652
2018-08-16,92.611221,93.319283,89.887894,90.432556,88.676720,936192
2018-08-17,91.322182,91.485580,88.598854,88.980118,87.252487,1292754
2018-08-20,89.633713,89.633713,86.855927,87.146416,85.454384,2413717
2018-08-21,87.763702,91.104309,87.346123,88.453606,86.736191,9039691
2018-08-23,88.925652,89.470314,88.417297,88.744095,87.021034,2048607
2018-08-24,89.107208,89.688179,88.235741,88.598854,86.878624,1676152
2018-08-27,89.579247,92.229950,88.853027,91.939468,90.154373,1577675
2018-08-28,92.157333,93.301125,90.850136,92.883553,91.080132,674497
2018-08-29,92.956177,93.682396,91.322182,92.792770,90.991112,587854
2018-08-30,92.901703,93.119576,91.213242,91.921310,90.136574,645506
2018-08-31,91.830528,92.901703,90.650421,90.850136,89.086189,998449
2018-09-03,91.485580,92.720154,90.777512,91.576355,89.798309,654806
2018-09-04,92.012085,92.919861,89.034584,89.579247,87.839973,920775
2018-09-05,89.688179,93.246658,87.999718,89.343231,87.608543,1937872
2018-09-06,89.942360,91.685287,88.417297,88.871185,87.145660,752182
2018-09-07,88.961960,89.996826,88.635162,89.325073,87.590736,771854
2018-09-10,89.633713,90.287315,88.617004,88.925652,87.199074,323147
2018-09-11,89.034584,91.866844,88.816719,89.397697,87.661957,797477
2018-09-12,89.161674,89.706337,87.509521,88.199432,86.486961,768722
2018-09-14,88.925652,90.033134,88.780411,89.343231,87.608543,441169
2018-09-17,88.961960,89.179825,88.290207,88.816719,87.092255,241808
2018-09-18,88.453606,89.125359,86.529121,87.582146,86.245796,356396
2018-09-19,87.618454,89.597404,86.855927,88.435455,87.460564,4988110
2018-09-21,88.598854,91.140625,85.784752,89.288757,88.304459,688066
2018-09-24,90.051292,90.051292,85.330864,86.529121,85.575249,587805
2018-09-25,85.712128,92.593063,82.425980,88.689629,87.711937,917834
2018-09-26,90.487022,90.487022,86.547279,86.983009,86.024132,399950
2018-09-27,87.110100,87.110100,82.189957,82.807243,81.894402,2556059
2018-09-28,83.442688,83.478996,78.813034,81.318497,80.422066,2195601
2018-10-01,81.336655,83.896576,71.587143,83.333755,82.415108,3499423
2018-10-03,82.861710,83.115891,76.725151,77.832642,76.974640,2052719
2018-10-04,76.253113,78.431770,74.437561,77.415062,76.561661,944501
2018-10-05,76.616219,77.360596,72.985123,74.346786,73.527206,1962955
2018-10-08,73.275604,76.834084,71.296661,72.622009,71.821449,715210
2018-10-09,72.603851,72.622009,70.189171,70.788307,70.007950,680796
2018-10-10,71.441902,74.619118,70.661217,72.912498,72.108734,1893453
2018-10-11,71.133263,73.348228,70.407036,72.676476,71.875313,1194376
2018-10-12,73.402695,81.245872,73.402695,79.466637,78.590622,943771
2018-10-15,79.157990,81.917625,77.415062,80.174698,79.290878,2277524
2018-10-16,80.973541,84.241531,77.523994,78.413612,77.549202,2311918
2018-10-17,79.103523,79.702660,75.617668,76.144180,75.304787,617350
2018-10-19,75.490578,76.180489,73.184830,73.420853,72.611481,637842
2018-10-22,73.566093,78.722260,72.295212,76.906708,76.058914,938946
2018-10-23,76.216797,77.868950,74.074448,76.616219,75.771622,570105
2018-10-24,76.253113,77.269821,75.272713,76.688843,75.843452,308264
2018-10-25,76.216797,76.253113,74.074448,74.782516,73.958138,438310
2018-10-26,74.800667,74.800667,73.384544,73.566093,72.755119,1346649
2018-10-29,74.274162,74.800667,72.567543,74.401253,73.581070,717804
2018-10-30,74.401253,75.254555,73.493477,74.128914,73.311737,545528
2018-10-31,74.782516,76.616219,74.074448,75.871841,75.035454,489592
2018-11-01,76.616219,78.722260,75.236404,77.760017,76.902809,568967
